路径ID,起始节点,中介变量,终点节点,完整路径
357,疾病_尿毒症,检验_谷丙转氨酶,检验_谷草/谷丙,疾病_尿毒症 → 检验_谷丙转氨酶 → 检验_谷草/谷丙
358,疾病_尿毒症,检验_谷丙转氨酶,疾病_肺恶性肿瘤,疾病_尿毒症 → 检验_谷丙转氨酶 → 疾病_肺恶性肿瘤
359,疾病_尿毒症,疾病_高血压,药物_阿司匹林肠溶片,疾病_尿毒症 → 疾病_高血压 → 药物_阿司匹林肠溶片
360,疾病_尿毒症,疾病_高血压,药物_富马酸比索洛尔片,疾病_尿毒症 → 疾病_高血压 → 药物_富马酸比索洛尔片
361,疾病_尿毒症,疾病_高血压,药物_硝苯地平控释片,疾病_尿毒症 → 疾病_高血压 → 药物_硝苯地平控释片
362,疾病_尿毒症,疾病_高血压,疾病_肝功能异常,疾病_尿毒症 → 疾病_高血压 → 疾病_肝功能异常
363,疾病_尿毒症,疾病_高血压,药物_厄贝沙坦氢氯噻嗪片,疾病_尿毒症 → 疾病_高血压 → 药物_厄贝沙坦氢氯噻嗪片
364,疾病_尿毒症,疾病_高血压,疾病_糖尿病,疾病_尿毒症 → 疾病_高血压 → 疾病_糖尿病
365,疾病_尿毒症,疾病_高血压,疾病_反流性食管炎,疾病_尿毒症 → 疾病_高血压 → 疾病_反流性食管炎
366,疾病_尿毒症,疾病_高血压,疾病_动脉硬化,疾病_尿毒症 → 疾病_高血压 → 疾病_动脉硬化
367,疾病_尿毒症,疾病_高血压,疾病_脂肪肝,疾病_尿毒症 → 疾病_高血压 → 疾病_脂肪肝
368,疾病_尿毒症,疾病_高血压,疾病_混合痔,疾病_尿毒症 → 疾病_高血压 → 疾病_混合痔
369,疾病_尿毒症,疾病_高血压,检验_嗜酸性粒细胞数量,疾病_尿毒症 → 疾病_高血压 → 检验_嗜酸性粒细胞数量
370,疾病_尿毒症,疾病_高血压,疾病_非毒性多个甲状腺结节,疾病_尿毒症 → 疾病_高血压 → 疾病_非毒性多个甲状腺结节
371,疾病_尿毒症,疾病_高血压,检验_红细胞压积,疾病_尿毒症 → 疾病_高血压 → 检验_红细胞压积
372,疾病_尿毒症,疾病_高血压,药物_贞芪扶正,疾病_尿毒症 → 疾病_高血压 → 药物_贞芪扶正
373,疾病_尿毒症,疾病_高血压,检验_谷丙转氨酶,疾病_尿毒症 → 疾病_高血压 → 检验_谷丙转氨酶
374,疾病_尿毒症,疾病_高血压,药物_盐酸二甲双胍片,疾病_尿毒症 → 疾病_高血压 → 药物_盐酸二甲双胍片
375,疾病_尿毒症,疾病_高血压,疾病_前列腺增生,疾病_尿毒症 → 疾病_高血压 → 疾病_前列腺增生
376,疾病_尿毒症,疾病_高血压,疾病_陈旧性脑梗死,疾病_尿毒症 → 疾病_高血压 → 疾病_陈旧性脑梗死
377,疾病_尿毒症,疾病_高血压,检验_血小板比容,疾病_尿毒症 → 疾病_高血压 → 检验_血小板比容
378,疾病_尿毒症,疾病_高血压,药物_苯磺酸氨氯地平片,疾病_尿毒症 → 疾病_高血压 → 药物_苯磺酸氨氯地平片
379,疾病_尿毒症,疾病_高血压,疾病_肝囊肿,疾病_尿毒症 → 疾病_高血压 → 疾病_肝囊肿
380,疾病_尿毒症,检验_淋巴细胞数量,检验_淋巴细胞比率,疾病_尿毒症 → 检验_淋巴细胞数量 → 检验_淋巴细胞比率
381,疾病_尿毒症,检验_淋巴细胞数量,检验_直接胆红素,疾病_尿毒症 → 检验_淋巴细胞数量 → 检验_直接胆红素
382,疾病_尿毒症,检验_淋巴细胞数量,检验_碳酸氢盐,疾病_尿毒症 → 检验_淋巴细胞数量 → 检验_碳酸氢盐
383,疾病_尿毒症,检验_肌酐,疾病_腔隙性脑梗死,疾病_尿毒症 → 检验_肌酐 → 疾病_腔隙性脑梗死
384,疾病_尿毒症,检验_红细胞平均体积,检验_平均血红蛋白含量,疾病_尿毒症 → 检验_红细胞平均体积 → 检验_平均血红蛋白含量
385,疾病_肺部感染,疾病_低钾血症,疾病_心功能,疾病_肺部感染 → 疾病_低钾血症 → 疾病_心功能
386,疾病_肺部感染,疾病_低钾血症,检验_钾,疾病_肺部感染 → 疾病_低钾血症 → 检验_钾
387,疾病_肺部感染,检验_血小板,药物_维生素C注射液,疾病_肺部感染 → 检验_血小板 → 药物_维生素C注射液
388,疾病_肺部感染,检验_血小板,检验_血小板比容,疾病_肺部感染 → 检验_血小板 → 检验_血小板比容
389,疾病_肺部感染,检验_镁,检验_碳酸氢盐,疾病_肺部感染 → 检验_镁 → 检验_碳酸氢盐
390,疾病_非毒性多个甲状腺结节,疾病_血糖控制不佳,药物_精蛋白生物合成人胰岛素注射液,疾病_非毒性多个甲状腺结节 → 疾病_血糖控制不佳 → 药物_精蛋白生物合成人胰岛素注射液
391,疾病_非毒性多个甲状腺结节,疾病_脂肪肝,疾病_胆囊结石,疾病_非毒性多个甲状腺结节 → 疾病_脂肪肝 → 疾病_胆囊结石
392,疾病_非毒性多个甲状腺结节,疾病_脂肪肝,检验_C反应蛋白,疾病_非毒性多个甲状腺结节 → 疾病_脂肪肝 → 检验_C反应蛋白
393,疾病_非毒性多个甲状腺结节,疾病_脂肪肝,疾病_糖尿病性周围血管病,疾病_非毒性多个甲状腺结节 → 疾病_脂肪肝 → 疾病_糖尿病性周围血管病
394,疾病_非毒性多个甲状腺结节,疾病_脂肪肝,疾病_肺恶性肿瘤,疾病_非毒性多个甲状腺结节 → 疾病_脂肪肝 → 疾病_肺恶性肿瘤
395,疾病_非毒性多个甲状腺结节,检验_红细胞压积,检验_红细胞分布宽度CV,疾病_非毒性多个甲状腺结节 → 检验_红细胞压积 → 检验_红细胞分布宽度CV
396,疾病_非毒性多个甲状腺结节,检验_红细胞压积,检验_红细胞,疾病_非毒性多个甲状腺结节 → 检验_红细胞压积 → 检验_红细胞
397,疾病_非毒性多个甲状腺结节,检验_红细胞压积,检验_直接胆红素,疾病_非毒性多个甲状腺结节 → 检验_红细胞压积 → 检验_直接胆红素
398,疾病_非毒性多个甲状腺结节,检验_红细胞压积,药物_碳酸氢钠片,疾病_非毒性多个甲状腺结节 → 检验_红细胞压积 → 药物_碳酸氢钠片
399,疾病_非毒性多个甲状腺结节,疾病_老年性白内障,疾病_白内障,疾病_非毒性多个甲状腺结节 → 疾病_老年性白内障 → 疾病_白内障
400,疾病_非毒性多个甲状腺结节,疾病_老年性白内障,检验_大型血小板比率,疾病_非毒性多个甲状腺结节 → 疾病_老年性白内障 → 检验_大型血小板比率
401,药物_阿司匹林肠溶片,疾病_重度骨质疏松,药物_骨化三醇胶丸,药物_阿司匹林肠溶片 → 疾病_重度骨质疏松 → 药物_骨化三醇胶丸
402,药物_阿司匹林肠溶片,疾病_重度骨质疏松,药物_碳酸钙片,药物_阿司匹林肠溶片 → 疾病_重度骨质疏松 → 药物_碳酸钙片
403,药物_阿司匹林肠溶片,药物_阿托伐他汀钙片,药物_硫酸氢氯吡格雷片,药物_阿司匹林肠溶片 → 药物_阿托伐他汀钙片 → 药物_硫酸氢氯吡格雷片
404,药物_阿司匹林肠溶片,药物_阿托伐他汀钙片,疾病_心律失常,药物_阿司匹林肠溶片 → 药物_阿托伐他汀钙片 → 疾病_心律失常
405,药物_骨化三醇胶丸,药物_碳酸钙片,疾病_糖尿病性视网膜病变,药物_骨化三醇胶丸 → 药物_碳酸钙片 → 疾病_糖尿病性视网膜病变
406,药物_骨化三醇胶丸,药物_酒石酸美托洛尔片,药物_富马酸比索洛尔片,药物_骨化三醇胶丸 → 药物_酒石酸美托洛尔片 → 药物_富马酸比索洛尔片
407,药物_骨化三醇胶丸,药物_酒石酸美托洛尔片,药物_硝苯地平缓释片,药物_骨化三醇胶丸 → 药物_酒石酸美托洛尔片 → 药物_硝苯地平缓释片
408,检验_尿酸,疾病_高尿酸血症,药物_碳酸氢钠片,检验_尿酸 → 疾病_高尿酸血症 → 药物_碳酸氢钠片
409,检验_尿酸,疾病_高尿酸血症,药物_硝苯地平控释片,检验_尿酸 → 疾病_高尿酸血症 → 药物_硝苯地平控释片
410,检验_尿酸,疾病_重度骨质疏松,药物_骨化三醇胶丸,检验_尿酸 → 疾病_重度骨质疏松 → 药物_骨化三醇胶丸
411,检验_尿酸,疾病_重度骨质疏松,药物_碳酸钙片,检验_尿酸 → 疾病_重度骨质疏松 → 药物_碳酸钙片
412,检验_尿酸,疾病_慢性胃炎,疾病_结肠息肉,检验_尿酸 → 疾病_慢性胃炎 → 疾病_结肠息肉
413,药物_贞芪扶正,疾病_肺恶性肿瘤,疾病_前列腺增生,药物_贞芪扶正 → 疾病_肺恶性肿瘤 → 疾病_前列腺增生
414,药物_贞芪扶正,疾病_肺恶性肿瘤,疾病_恶性肿瘤维持性化学治疗,药物_贞芪扶正 → 疾病_肺恶性肿瘤 → 疾病_恶性肿瘤维持性化学治疗
415,药物_贞芪扶正,疾病_肺恶性肿瘤,检验_单核细胞数量,药物_贞芪扶正 → 疾病_肺恶性肿瘤 → 检验_单核细胞数量
416,药物_贞芪扶正,疾病_恶性肿瘤维持性化学治疗,检验_尿酸,药物_贞芪扶正 → 疾病_恶性肿瘤维持性化学治疗 → 检验_尿酸
417,疾病_重度骨质疏松,药物_骨化三醇胶丸,疾病_类风湿性关节炎,疾病_重度骨质疏松 → 药物_骨化三醇胶丸 → 疾病_类风湿性关节炎
418,疾病_重度骨质疏松,药物_骨化三醇胶丸,药物_碳酸钙片,疾病_重度骨质疏松 → 药物_骨化三醇胶丸 → 药物_碳酸钙片
419,疾病_重度骨质疏松,药物_骨化三醇胶丸,药物_酒石酸美托洛尔片,疾病_重度骨质疏松 → 药物_骨化三醇胶丸 → 药物_酒石酸美托洛尔片
420,疾病_重度骨质疏松,药物_碳酸钙片,药物_骨化三醇胶丸,疾病_重度骨质疏松 → 药物_碳酸钙片 → 药物_骨化三醇胶丸
421,疾病_重度骨质疏松,药物_碳酸钙片,疾病_糖尿病性视网膜病变,疾病_重度骨质疏松 → 药物_碳酸钙片 → 疾病_糖尿病性视网膜病变
422,检验_葡萄糖,疾病_肝囊肿,疾病_结肠息肉,检验_葡萄糖 → 疾病_肝囊肿 → 疾病_结肠息肉
423,检验_葡萄糖,疾病_糖尿病,疾病_糖尿病性周围神经病,检验_葡萄糖 → 疾病_糖尿病 → 疾病_糖尿病性周围神经病
424,检验_葡萄糖,疾病_糖尿病,药物_甲钴胺分散片,检验_葡萄糖 → 疾病_糖尿病 → 药物_甲钴胺分散片
425,检验_葡萄糖,疾病_糖尿病,药物_阿卡波糖片,检验_葡萄糖 → 疾病_糖尿病 → 药物_阿卡波糖片
426,检验_葡萄糖,疾病_糖尿病,药物_盐酸二甲双胍片,检验_葡萄糖 → 疾病_糖尿病 → 药物_盐酸二甲双胍片
427,检验_葡萄糖,疾病_糖尿病,检验_尿酸,检验_葡萄糖 → 疾病_糖尿病 → 检验_尿酸
428,检验_葡萄糖,疾病_糖尿病,疾病_肝囊肿,检验_葡萄糖 → 疾病_糖尿病 → 疾病_肝囊肿
429,检验_葡萄糖,药物_碳酸钙片,药物_骨化三醇胶丸,检验_葡萄糖 → 药物_碳酸钙片 → 药物_骨化三醇胶丸
430,检验_葡萄糖,药物_碳酸钙片,疾病_糖尿病性视网膜病变,检验_葡萄糖 → 药物_碳酸钙片 → 疾病_糖尿病性视网膜病变
431,疾病_前列腺增生,检验_钙,检验_嗜碱性粒细胞比率,疾病_前列腺增生 → 检验_钙 → 检验_嗜碱性粒细胞比率
432,疾病_颈总动脉斑块,疾病_心律失常,疾病_慢性支气管炎,疾病_颈总动脉斑块 → 疾病_心律失常 → 疾病_慢性支气管炎
433,疾病_颈总动脉斑块,疾病_肢体动脉硬化,药物_艾司唑仑片,疾病_颈总动脉斑块 → 疾病_肢体动脉硬化 → 药物_艾司唑仑片
434,疾病_颈总动脉斑块,疾病_老年性白内障,疾病_白内障,疾病_颈总动脉斑块 → 疾病_老年性白内障 → 疾病_白内障
435,疾病_颈总动脉斑块,疾病_老年性白内障,检验_大型血小板比率,疾病_颈总动脉斑块 → 疾病_老年性白内障 → 检验_大型血小板比率
436,药物_叶酸片,药物_甲钴胺分散片,药物_卡维地洛片,药物_叶酸片 → 药物_甲钴胺分散片 → 药物_卡维地洛片
437,药物_叶酸片,药物_琥珀酸亚铁片,疾病_糖尿病性周围血管病,药物_叶酸片 → 药物_琥珀酸亚铁片 → 疾病_糖尿病性周围血管病
438,疾病_老年性白内障,检验_大型血小板比率,检验_血小板分布宽度,疾病_老年性白内障 → 检验_大型血小板比率 → 检验_血小板分布宽度
439,疾病_老年性白内障,检验_大型血小板比率,疾病_医疗机构新收治患者及陪护人员,疾病_老年性白内障 → 检验_大型血小板比率 → 疾病_医疗机构新收治患者及陪护人员
440,药物_盐酸曲美他嗪片,药物_硫酸氢氯吡格雷片,药物_单硝酸异山梨酯片,药物_盐酸曲美他嗪片 → 药物_硫酸氢氯吡格雷片 → 药物_单硝酸异山梨酯片
441,药物_盐酸曲美他嗪片,药物_硫酸氢氯吡格雷片,疾病_陈旧性脑梗死,药物_盐酸曲美他嗪片 → 药物_硫酸氢氯吡格雷片 → 疾病_陈旧性脑梗死
442,药物_盐酸曲美他嗪片,疾病_低蛋白血症,检验_白球比,药物_盐酸曲美他嗪片 → 疾病_低蛋白血症 → 检验_白球比
443,药物_盐酸曲美他嗪片,疾病_低蛋白血症,疾病_泌尿系感染,药物_盐酸曲美他嗪片 → 疾病_低蛋白血症 → 疾病_泌尿系感染
444,药物_盐酸曲美他嗪片,疾病_低蛋白血症,检验_C反应蛋白,药物_盐酸曲美他嗪片 → 疾病_低蛋白血症 → 检验_C反应蛋白
445,药物_盐酸曲美他嗪片,药物_阿卡波糖片,疾病_非毒性单个甲状腺结节,药物_盐酸曲美他嗪片 → 药物_阿卡波糖片 → 疾病_非毒性单个甲状腺结节
446,药物_盐酸曲美他嗪片,药物_阿卡波糖片,药物_精蛋白生物合成人胰岛素注射液,药物_盐酸曲美他嗪片 → 药物_阿卡波糖片 → 药物_精蛋白生物合成人胰岛素注射液
447,药物_盐酸曲美他嗪片,药物_阿卡波糖片,检验_谷草转氨酶,药物_盐酸曲美他嗪片 → 药物_阿卡波糖片 → 检验_谷草转氨酶
448,药物_盐酸曲美他嗪片,药物_阿卡波糖片,疾病_糖尿病性周围神经病,药物_盐酸曲美他嗪片 → 药物_阿卡波糖片 → 疾病_糖尿病性周围神经病
449,药物_盐酸曲美他嗪片,药物_阿卡波糖片,疾病_泌尿系感染,药物_盐酸曲美他嗪片 → 药物_阿卡波糖片 → 疾病_泌尿系感染
450,药物_盐酸曲美他嗪片,疾病_陈旧性脑梗死,药物_硫酸氢氯吡格雷片,药物_盐酸曲美他嗪片 → 疾病_陈旧性脑梗死 → 药物_硫酸氢氯吡格雷片
451,药物_盐酸曲美他嗪片,疾病_陈旧性脑梗死,疾病_重度骨质疏松,药物_盐酸曲美他嗪片 → 疾病_陈旧性脑梗死 → 疾病_重度骨质疏松
452,药物_阿卡波糖片,检验_谷草转氨酶,疾病_腰椎间盘突出,药物_阿卡波糖片 → 检验_谷草转氨酶 → 疾病_腰椎间盘突出
453,药物_阿卡波糖片,疾病_糖尿病性周围神经病,疾病_糖尿病性周围血管病,药物_阿卡波糖片 → 疾病_糖尿病性周围神经病 → 疾病_糖尿病性周围血管病
454,药物_阿卡波糖片,疾病_糖尿病性周围神经病,疾病_糖尿病性视网膜病变,药物_阿卡波糖片 → 疾病_糖尿病性周围神经病 → 疾病_糖尿病性视网膜病变
455,药物_阿卡波糖片,疾病_糖尿病性周围神经病,疾病_高尿酸血症,药物_阿卡波糖片 → 疾病_糖尿病性周围神经病 → 疾病_高尿酸血症
456,药物_阿卡波糖片,疾病_糖尿病性周围神经病,药物_甲钴胺片,药物_阿卡波糖片 → 疾病_糖尿病性周围神经病 → 药物_甲钴胺片
457,疾病_腔隙性脑梗死,疾病_高尿酸血症,药物_碳酸氢钠片,疾病_腔隙性脑梗死 → 疾病_高尿酸血症 → 药物_碳酸氢钠片
458,疾病_腔隙性脑梗死,疾病_高尿酸血症,药物_硝苯地平控释片,疾病_腔隙性脑梗死 → 疾病_高尿酸血症 → 药物_硝苯地平控释片
459,疾病_陈旧性脑梗死,药物_硫酸氢氯吡格雷片,药物_单硝酸异山梨酯片,疾病_陈旧性脑梗死 → 药物_硫酸氢氯吡格雷片 → 药物_单硝酸异山梨酯片
460,疾病_陈旧性脑梗死,药物_硫酸氢氯吡格雷片,药物_盐酸曲美他嗪片,疾病_陈旧性脑梗死 → 药物_硫酸氢氯吡格雷片 → 药物_盐酸曲美他嗪片
461,疾病_陈旧性脑梗死,疾病_重度骨质疏松,药物_骨化三醇胶丸,疾病_陈旧性脑梗死 → 疾病_重度骨质疏松 → 药物_骨化三醇胶丸
462,疾病_陈旧性脑梗死,疾病_重度骨质疏松,药物_碳酸钙片,疾病_陈旧性脑梗死 → 疾病_重度骨质疏松 → 药物_碳酸钙片
463,疾病_糖尿病性周围血管病,疾病_血糖控制不佳,药物_精蛋白生物合成人胰岛素注射液,疾病_糖尿病性周围血管病 → 疾病_血糖控制不佳 → 药物_精蛋白生物合成人胰岛素注射液
464,药物_硝苯地平控释片,药物_厄贝沙坦氢氯噻嗪片,疾病_低钾血症,药物_硝苯地平控释片 → 药物_厄贝沙坦氢氯噻嗪片 → 疾病_低钾血症
465,疾病_医疗机构新收治患者及陪护人员,疾病_慢性胃炎,疾病_结肠息肉,疾病_医疗机构新收治患者及陪护人员 → 疾病_慢性胃炎 → 疾病_结肠息肉
466,药物_苯磺酸氨氯地平片,疾病_高血压,药物_阿司匹林肠溶片,药物_苯磺酸氨氯地平片 → 疾病_高血压 → 药物_阿司匹林肠溶片
467,药物_苯磺酸氨氯地平片,疾病_高血压,药物_富马酸比索洛尔片,药物_苯磺酸氨氯地平片 → 疾病_高血压 → 药物_富马酸比索洛尔片
468,药物_苯磺酸氨氯地平片,疾病_高血压,药物_硝苯地平控释片,药物_苯磺酸氨氯地平片 → 疾病_高血压 → 药物_硝苯地平控释片
469,药物_苯磺酸氨氯地平片,疾病_高血压,疾病_肝功能异常,药物_苯磺酸氨氯地平片 → 疾病_高血压 → 疾病_肝功能异常
470,药物_苯磺酸氨氯地平片,疾病_高血压,药物_厄贝沙坦氢氯噻嗪片,药物_苯磺酸氨氯地平片 → 疾病_高血压 → 药物_厄贝沙坦氢氯噻嗪片
471,药物_苯磺酸氨氯地平片,疾病_高血压,疾病_糖尿病,药物_苯磺酸氨氯地平片 → 疾病_高血压 → 疾病_糖尿病
472,药物_苯磺酸氨氯地平片,疾病_高血压,疾病_反流性食管炎,药物_苯磺酸氨氯地平片 → 疾病_高血压 → 疾病_反流性食管炎
473,药物_苯磺酸氨氯地平片,疾病_高血压,疾病_动脉硬化,药物_苯磺酸氨氯地平片 → 疾病_高血压 → 疾病_动脉硬化
474,药物_苯磺酸氨氯地平片,疾病_高血压,疾病_脂肪肝,药物_苯磺酸氨氯地平片 → 疾病_高血压 → 疾病_脂肪肝
475,药物_苯磺酸氨氯地平片,疾病_高血压,疾病_混合痔,药物_苯磺酸氨氯地平片 → 疾病_高血压 → 疾病_混合痔
476,药物_苯磺酸氨氯地平片,疾病_高血压,检验_嗜酸性粒细胞数量,药物_苯磺酸氨氯地平片 → 疾病_高血压 → 检验_嗜酸性粒细胞数量
477,药物_苯磺酸氨氯地平片,疾病_高血压,疾病_非毒性多个甲状腺结节,药物_苯磺酸氨氯地平片 → 疾病_高血压 → 疾病_非毒性多个甲状腺结节
478,药物_苯磺酸氨氯地平片,疾病_高血压,检验_红细胞压积,药物_苯磺酸氨氯地平片 → 疾病_高血压 → 检验_红细胞压积
479,药物_苯磺酸氨氯地平片,疾病_高血压,药物_贞芪扶正,药物_苯磺酸氨氯地平片 → 疾病_高血压 → 药物_贞芪扶正
480,药物_苯磺酸氨氯地平片,疾病_高血压,检验_谷丙转氨酶,药物_苯磺酸氨氯地平片 → 疾病_高血压 → 检验_谷丙转氨酶
481,药物_苯磺酸氨氯地平片,疾病_高血压,药物_盐酸二甲双胍片,药物_苯磺酸氨氯地平片 → 疾病_高血压 → 药物_盐酸二甲双胍片
482,药物_苯磺酸氨氯地平片,疾病_高血压,疾病_前列腺增生,药物_苯磺酸氨氯地平片 → 疾病_高血压 → 疾病_前列腺增生
483,药物_苯磺酸氨氯地平片,疾病_高血压,疾病_陈旧性脑梗死,药物_苯磺酸氨氯地平片 → 疾病_高血压 → 疾病_陈旧性脑梗死
484,药物_苯磺酸氨氯地平片,疾病_高血压,检验_血小板比容,药物_苯磺酸氨氯地平片 → 疾病_高血压 → 检验_血小板比容
485,药物_苯磺酸氨氯地平片,疾病_高血压,疾病_肝囊肿,药物_苯磺酸氨氯地平片 → 疾病_高血压 → 疾病_肝囊肿
486,检验_红细胞分布宽度SD,检验_红细胞,检验_血红蛋白,检验_红细胞分布宽度SD → 检验_红细胞 → 检验_血红蛋白
487,检验_红细胞分布宽度SD,检验_红细胞,疾病_贫血,检验_红细胞分布宽度SD → 检验_红细胞 → 疾病_贫血
488,检验_红细胞分布宽度SD,检验_红细胞,检验_白蛋白,检验_红细胞分布宽度SD → 检验_红细胞 → 检验_白蛋白
489,检验_红细胞分布宽度SD,检验_红细胞,疾病_白内障,检验_红细胞分布宽度SD → 检验_红细胞 → 疾病_白内障
490,检验_红细胞分布宽度SD,检验_红细胞平均体积,检验_平均血红蛋白含量,检验_红细胞分布宽度SD → 检验_红细胞平均体积 → 检验_平均血红蛋白含量
491,检验_红细胞,检验_血红蛋白,检验_红细胞分布宽度CV,检验_红细胞 → 检验_血红蛋白 → 检验_红细胞分布宽度CV
492,检验_红细胞,检验_血红蛋白,检验_红细胞压积,检验_红细胞 → 检验_血红蛋白 → 检验_红细胞压积
493,检验_红细胞,检验_血红蛋白,疾病_低蛋白血症,检验_红细胞 → 检验_血红蛋白 → 疾病_低蛋白血症
494,检验_红细胞,检验_血红蛋白,检验_胆碱酯酶,检验_红细胞 → 检验_血红蛋白 → 检验_胆碱酯酶
495,检验_红细胞,疾病_贫血,药物_琥珀酸亚铁片,检验_红细胞 → 疾病_贫血 → 药物_琥珀酸亚铁片
496,检验_红细胞,检验_白蛋白,检验_总蛋白,检验_红细胞 → 检验_白蛋白 → 检验_总蛋白
497,检验_红细胞压积,检验_红细胞分布宽度CV,检验_钾,检验_红细胞压积 → 检验_红细胞分布宽度CV → 检验_钾
498,检验_红细胞压积,检验_红细胞分布宽度CV,检验_红细胞分布宽度SD,检验_红细胞压积 → 检验_红细胞分布宽度CV → 检验_红细胞分布宽度SD
499,检验_红细胞压积,检验_红细胞分布宽度CV,疾病_胆囊结石,检验_红细胞压积 → 检验_红细胞分布宽度CV → 疾病_胆囊结石
500,检验_红细胞压积,检验_红细胞分布宽度CV,检验_血小板,检验_红细胞压积 → 检验_红细胞分布宽度CV → 检验_血小板
501,检验_红细胞压积,检验_红细胞分布宽度CV,检验_磷,检验_红细胞压积 → 检验_红细胞分布宽度CV → 检验_磷
502,检验_红细胞压积,检验_红细胞分布宽度CV,检验_镁,检验_红细胞压积 → 检验_红细胞分布宽度CV → 检验_镁
503,检验_红细胞压积,检验_红细胞分布宽度CV,检验_谷草/谷丙,检验_红细胞压积 → 检验_红细胞分布宽度CV → 检验_谷草/谷丙
504,检验_红细胞压积,检验_红细胞,检验_血红蛋白,检验_红细胞压积 → 检验_红细胞 → 检验_血红蛋白
505,检验_红细胞压积,检验_红细胞,疾病_贫血,检验_红细胞压积 → 检验_红细胞 → 疾病_贫血
506,检验_红细胞压积,检验_红细胞,检验_白蛋白,检验_红细胞压积 → 检验_红细胞 → 检验_白蛋白
507,检验_红细胞压积,检验_红细胞,疾病_白内障,检验_红细胞压积 → 检验_红细胞 → 疾病_白内障
508,检验_红细胞压积,检验_直接胆红素,检验_总胆汁酸,检验_红细胞压积 → 检验_直接胆红素 → 检验_总胆汁酸
509,检验_红细胞压积,检验_直接胆红素,检验_碱性磷酸酶,检验_红细胞压积 → 检验_直接胆红素 → 检验_碱性磷酸酶
510,检验_红细胞压积,检验_直接胆红素,药物_盐酸羟考酮缓释片,检验_红细胞压积 → 检验_直接胆红素 → 药物_盐酸羟考酮缓释片
511,检验_红细胞压积,检验_直接胆红素,检验_总胆红素,检验_红细胞压积 → 检验_直接胆红素 → 检验_总胆红素
512,检验_红细胞压积,检验_直接胆红素,疾病_泌尿系感染,检验_红细胞压积 → 检验_直接胆红素 → 疾病_泌尿系感染
513,检验_红细胞压积,药物_碳酸氢钠片,检验_磷,检验_红细胞压积 → 药物_碳酸氢钠片 → 检验_磷
514,疾病_脑梗死,药物_肝素钠注射液,药物_氯化钠注射液,疾病_脑梗死 → 药物_肝素钠注射液 → 药物_氯化钠注射液
515,疾病_脑梗死,疾病_糖尿病性视网膜病变,疾病_白内障,疾病_脑梗死 → 疾病_糖尿病性视网膜病变 → 疾病_白内障
516,疾病_脑梗死,疾病_糖尿病性视网膜病变,药物_厄贝沙坦片,疾病_脑梗死 → 疾病_糖尿病性视网膜病变 → 药物_厄贝沙坦片
517,检验_胆碱酯酶,检验_前白蛋白,检验_镁,检验_胆碱酯酶 → 检验_前白蛋白 → 检验_镁
518,检验_胆碱酯酶,检验_前白蛋白,检验_总胆红素,检验_胆碱酯酶 → 检验_前白蛋白 → 检验_总胆红素
519,检验_平均血红蛋白含量,疾病_贫血,药物_琥珀酸亚铁片,检验_平均血红蛋白含量 → 疾病_贫血 → 药物_琥珀酸亚铁片
520,检验_总胆汁酸,检验_转肽酶,疾病_恶性肿瘤维持性化学治疗,检验_总胆汁酸 → 检验_转肽酶 → 疾病_恶性肿瘤维持性化学治疗
521,检验_总胆汁酸,检验_转肽酶,检验_碱性磷酸酶,检验_总胆汁酸 → 检验_转肽酶 → 检验_碱性磷酸酶
522,检验_总胆汁酸,检验_转肽酶,药物_骨化三醇胶丸,检验_总胆汁酸 → 检验_转肽酶 → 药物_骨化三醇胶丸
523,检验_总胆汁酸,检验_转肽酶,疾病_非毒性单个甲状腺结节,检验_总胆汁酸 → 检验_转肽酶 → 疾病_非毒性单个甲状腺结节
524,检验_白细胞,检验_中性粒细胞数量,检验_单核细胞数量,检验_白细胞 → 检验_中性粒细胞数量 → 检验_单核细胞数量
525,检验_白细胞,检验_中性粒细胞数量,检验_镁,检验_白细胞 → 检验_中性粒细胞数量 → 检验_镁
526,检验_白细胞,检验_中性粒细胞数量,药物_复方鲜竹沥液,检验_白细胞 → 检验_中性粒细胞数量 → 药物_复方鲜竹沥液
527,检验_白细胞,检验_中性粒细胞数量,药物_苯磺酸氨氯地平片,检验_白细胞 → 检验_中性粒细胞数量 → 药物_苯磺酸氨氯地平片
528,检验_白细胞,药物_二羟丙茶碱注射液,药物_阿卡波糖片,检验_白细胞 → 药物_二羟丙茶碱注射液 → 药物_阿卡波糖片
529,检验_白细胞,药物_二羟丙茶碱注射液,药物_富马酸比索洛尔片,检验_白细胞 → 药物_二羟丙茶碱注射液 → 药物_富马酸比索洛尔片
530,检验_白细胞,药物_二羟丙茶碱注射液,药物_酒石酸美托洛尔片,检验_白细胞 → 药物_二羟丙茶碱注射液 → 药物_酒石酸美托洛尔片
531,检验_白细胞,药物_二羟丙茶碱注射液,药物_维生素C注射液,检验_白细胞 → 药物_二羟丙茶碱注射液 → 药物_维生素C注射液
532,疾病_胆囊结石,疾病_脂肪肝,检验_C反应蛋白,疾病_胆囊结石 → 疾病_脂肪肝 → 检验_C反应蛋白
533,疾病_胆囊结石,疾病_脂肪肝,疾病_糖尿病性周围血管病,疾病_胆囊结石 → 疾病_脂肪肝 → 疾病_糖尿病性周围血管病
